2016-06-16 06:22:25 - 
2016-06-16 06:28:11 - id : 
2016-06-16 06:31:00 - id : 
2016-06-16 06:32:01 - id : 17
2016-06-16 06:32:53 - id : 19
2016-06-16 06:35:14 - id : 20
2016-06-16 07:01:30 - id : 11
2016-06-16 07:04:02 - id : 12
2016-06-16 07:04:53 - id : 13
2016-06-16 07:05:34 - id : 14
2016-06-16 07:07:05 - id : 15
2016-06-16 07:07:41 - id : 16
2016-06-16 07:16:00 - id : 17
2016-06-16 07:16:46 - id : 18
2016-06-16 07:16:47 - id : 19
2016-06-16 07:27:41 - id : 20
2016-06-16 07:56:18 - id : 21
2016-06-16 07:56:21 - id : 22
2016-06-16 07:56:42 - id : 23
2016-06-16 07:57:07 - id : 24
2016-06-16 07:59:47 - id : 25
2016-06-16 08:30:21 - id : 26
2016-06-16 08:30:29 - id : 27
2016-06-16 08:30:29 - id : 28
2016-06-16 08:30:31 - id : 29
2016-06-16 08:30:38 - id : 30
2016-06-16 08:33:08 - id : 31
2016-06-16 08:33:16 - id : 32
2016-06-16 14:44:14 - id : 11
2016-06-18 06:08:01 - id : 12
2016-06-18 07:14:42 - id : 13
2016-06-18 07:15:49 - id : 14
2016-06-18 07:16:03 - id : 15
2016-06-18 07:16:46 - id : 16
2016-06-18 08:10:40 - id : 17
2016-06-18 08:12:44 - id : 18
2016-06-18 08:14:46 - id : 19
2016-06-18 08:15:03 - id : 20
2016-06-18 08:15:41 - id : 21
2016-06-18 08:17:15 - id : 22
2016-06-18 08:18:06 - id : 23
2016-06-18 08:20:46 - id : 24
2016-06-18 08:30:11 - id : 1
2016-06-18 08:30:59 - id : 1
2016-06-18 08:35:43 - id : 25
2016-06-18 09:03:32 - id : 26
2016-06-18 09:06:17 - id : 27
2016-06-18 09:11:52 - id : 28
2016-06-18 09:12:41 - id : 28
2016-06-18 09:15:54 - id : 28
2016-06-18 09:16:57 - id : 29
2016-06-18 09:19:14 - id : 29
2016-06-18 09:19:58 - id : 29
2016-06-18 09:24:48 - id : 29
2016-06-18 09:25:32 - id : 29
2016-06-18 09:27:44 - id : 29
2016-06-18 09:28:40 - id : 29
2016-06-18 09:30:37 - id : 29
2016-06-18 09:32:02 - id : 29
2016-06-18 09:34:01 - id : 1
2016-06-18 09:35:52 - id : 30
2016-06-18 09:37:09 - id : 30
2016-06-18 09:38:16 - id : 30
2016-06-18 09:39:48 - id : 30
2016-06-18 09:41:18 - id : 30
2016-06-18 09:41:18 - array = 
2016-06-18 09:42:03 - id : 30
2016-06-18 09:42:03 - array = 99
2016-06-18 09:43:40 - id : 30
2016-06-18 09:43:40 - array = 99
2016-06-18 09:44:55 - id : 30
2016-06-18 09:44:55 - array = 99
2016-06-18 09:45:37 - id : 30
2016-06-18 09:45:37 - array = 99
2016-06-18 09:45:44 - id : 30
2016-06-18 09:49:35 - id : 31
2016-06-18 09:50:35 - id : 31
2016-06-18 09:50:35 - array = 
2016-06-18 09:52:22 - id : 31
2016-06-18 09:52:22 - array = 
2016-06-18 09:55:19 - id : 31
2016-06-18 09:56:14 - id : 31
2016-06-18 10:00:14 - id : 31
2016-06-18 10:00:45 - id : 32
2016-06-18 10:01:25 - id : 33
2016-06-18 10:02:35 - id : 34
2016-06-18 10:03:25 - id : 34
2016-06-18 10:06:11 - id : 34
2016-06-18 10:06:46 - id : 34
2016-06-18 10:09:19 - id : 34
2016-06-18 10:10:03 - id : 34
2016-06-18 10:11:09 - id : 34
2016-06-18 10:12:19 - id : 34
2016-06-18 10:16:22 - id : 34
2016-06-18 10:17:30 - id : 34
2016-06-18 10:19:15 - id : 34
2016-06-18 10:19:55 - id : 34
2016-06-18 10:20:17 - id : 34
2016-06-18 10:33:20 - id : 34
2016-06-18 10:42:41 - id : 34
2016-06-18 10:43:33 - id : 34
2016-06-18 10:44:51 - id : 34
2016-06-18 10:45:28 - id : 34
2016-06-18 10:49:45 - id : 34
